Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Image 2,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Tag 1,Product Tag 2,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price AUD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
,as-colour-staple-tee-5001,AS Colour Staple Tee 5001,,"<p>The AS Colour Staple Tee. Enduring comfort in a regular fit, crafted from 180 GSM 100% combed cotton. Featuring neck ribbing, side seams, and double needle hems for durability and minimal shrinkage, it's a timeless choice for comfort and style. Available in 70+ colours. Built to last.</p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20472/5001_STAPLE_TEE_ARCTIC_BLUE__41532.1771986127.386.513.jpg?c=1,,,,,BD,100% Combed Cotton (Marles 15% Viscose),,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20472/5001_STAPLE_TEE_ARCTIC_BLUE__41532.1771986127.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20545/5001_STAPLE_TEE_ARCTIC_BLUE_BACK__06852.1771986127.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,2XL / Arctic Blue,5001-ARC_B-K-2XL,,,6109.10.00.10,,true,false,,,,,,,,Size,2XL,Colour,Arctic Blue,BD,42,,,0,,
,as-colour-staple-tee-5001,AS Colour Staple Tee 5001,,"<p>The AS Colour Staple Tee. Enduring comfort in a regular fit, crafted from 180 GSM 100% combed cotton. Featuring neck ribbing, side seams, and double needle hems for durability and minimal shrinkage, it's a timeless choice for comfort and style. Available in 70+ colours. Built to last.</p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20472/5001_STAPLE_TEE_ARCTIC_BLUE__41532.1771986127.386.513.jpg?c=1,,,,,BD,100% Combed Cotton (Marles 15% Viscose),,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20472/5001_STAPLE_TEE_ARCTIC_BLUE__41532.1771986127.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20545/5001_STAPLE_TEE_ARCTIC_BLUE_BACK__06852.1771986127.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,3XL / Arctic Blue,5001-ARC_B-L-3XL,,,6109.10.00.10,,true,false,,,,,,,,Size,3XL,Colour,Arctic Blue,BD,42,,,1,,
,as-colour-staple-tee-5001,AS Colour Staple Tee 5001,,"<p>The AS Colour Staple Tee. Enduring comfort in a regular fit, crafted from 180 GSM 100% combed cotton. Featuring neck ribbing, side seams, and double needle hems for durability and minimal shrinkage, it's a timeless choice for comfort and style. Available in 70+ colours. Built to last.</p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20472/5001_STAPLE_TEE_ARCTIC_BLUE__41532.1771986127.386.513.jpg?c=1,,,,,BD,100% Combed Cotton (Marles 15% Viscose),,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20472/5001_STAPLE_TEE_ARCTIC_BLUE__41532.1771986127.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20545/5001_STAPLE_TEE_ARCTIC_BLUE_BACK__06852.1771986127.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,L / Arctic Blue,5001-ARC_B-I-L,,,6109.10.00.10,,true,false,,,,,,,,Size,L,Colour,Arctic Blue,BD,42,,,2,,
,as-colour-staple-tee-5001,AS Colour Staple Tee 5001,,"<p>The AS Colour Staple Tee. Enduring comfort in a regular fit, crafted from 180 GSM 100% combed cotton. Featuring neck ribbing, side seams, and double needle hems for durability and minimal shrinkage, it's a timeless choice for comfort and style. Available in 70+ colours. Built to last.</p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20472/5001_STAPLE_TEE_ARCTIC_BLUE__41532.1771986127.386.513.jpg?c=1,,,,,BD,100% Combed Cotton (Marles 15% Viscose),,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20472/5001_STAPLE_TEE_ARCTIC_BLUE__41532.1771986127.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20545/5001_STAPLE_TEE_ARCTIC_BLUE_BACK__06852.1771986127.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,M / Arctic Blue,5001-ARC_B-H-M,,,6109.10.00.10,,true,false,,,,,,,,Size,M,Colour,Arctic Blue,BD,42,,,3,,
,as-colour-staple-tee-5001,AS Colour Staple Tee 5001,,"<p>The AS Colour Staple Tee. Enduring comfort in a regular fit, crafted from 180 GSM 100% combed cotton. Featuring neck ribbing, side seams, and double needle hems for durability and minimal shrinkage, it's a timeless choice for comfort and style. Available in 70+ colours. Built to last.</p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20472/5001_STAPLE_TEE_ARCTIC_BLUE__41532.1771986127.386.513.jpg?c=1,,,,,BD,100% Combed Cotton (Marles 15% Viscose),,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20472/5001_STAPLE_TEE_ARCTIC_BLUE__41532.1771986127.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20545/5001_STAPLE_TEE_ARCTIC_BLUE_BACK__06852.1771986127.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,S / Arctic Blue,5001-ARC_B-G-S,,,6109.10.00.10,,true,false,,,,,,,,Size,S,Colour,Arctic Blue,BD,42,,,4,,
,as-colour-staple-tee-5001,AS Colour Staple Tee 5001,,"<p>The AS Colour Staple Tee. Enduring comfort in a regular fit, crafted from 180 GSM 100% combed cotton. Featuring neck ribbing, side seams, and double needle hems for durability and minimal shrinkage, it's a timeless choice for comfort and style. Available in 70+ colours. Built to last.</p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20472/5001_STAPLE_TEE_ARCTIC_BLUE__41532.1771986127.386.513.jpg?c=1,,,,,BD,100% Combed Cotton (Marles 15% Viscose),,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20472/5001_STAPLE_TEE_ARCTIC_BLUE__41532.1771986127.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20545/5001_STAPLE_TEE_ARCTIC_BLUE_BACK__06852.1771986127.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,XL / Arctic Blue,5001-ARC_B-J-XL,,,6109.10.00.10,,true,false,,,,,,,,Size,XL,Colour,Arctic Blue,BD,42,,,5,,
,as-colour-staple-tee-5001,AS Colour Staple Tee 5001,,"<p>The AS Colour Staple Tee. Enduring comfort in a regular fit, crafted from 180 GSM 100% combed cotton. Featuring neck ribbing, side seams, and double needle hems for durability and minimal shrinkage, it's a timeless choice for comfort and style. Available in 70+ colours. Built to last.</p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20472/5001_STAPLE_TEE_ARCTIC_BLUE__41532.1771986127.386.513.jpg?c=1,,,,,BD,100% Combed Cotton (Marles 15% Viscose),,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20472/5001_STAPLE_TEE_ARCTIC_BLUE__41532.1771986127.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/20545/5001_STAPLE_TEE_ARCTIC_BLUE_BACK__06852.1771986127.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,XS / Arctic Blue,5001-ARC_B-F-XS,,,6109.10.00.10,,true,false,,,,,,,,Size,XS,Colour,Arctic Blue,BD,42,,,6,,
,as-colour-staple-tee-5001,AS Colour Staple Tee 5001,,"<p>The AS Colour Staple Tee. Enduring comfort in a regular fit, crafted from 180 GSM 100% combed cotton. Featuring neck ribbing, side seams, and double needle hems for durability and minimal shrinkage, it's a timeless choice for comfort and style. Available in 70+ colours. Built to last.</p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/27505/5001_STAPLE_TEE_ARMY__91107.1771986127.386.513.jpg?c=1,,,,,BD,100% Combed Cotton (Marles 15% Viscose),,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/27505/5001_STAPLE_TEE_ARMY__91107.1771986127.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/27504/5001_STAPLE_TEE_ARMY_BACK__55461.1771986127.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,2XL / Army,5001-ARMY-K-2XL,,,6109.10.00.10,,true,false,,,,,,,,Size,2XL,Colour,Army,BD,42,,,7,,
,as-colour-staple-tee-5001,AS Colour Staple Tee 5001,,"<p>The AS Colour Staple Tee. Enduring comfort in a regular fit, crafted from 180 GSM 100% combed cotton. Featuring neck ribbing, side seams, and double needle hems for durability and minimal shrinkage, it's a timeless choice for comfort and style. Available in 70+ colours. Built to last.</p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/27505/5001_STAPLE_TEE_ARMY__91107.1771986127.386.513.jpg?c=1,,,,,BD,100% Combed Cotton (Marles 15% Viscose),,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/27505/5001_STAPLE_TEE_ARMY__91107.1771986127.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/27504/5001_STAPLE_TEE_ARMY_BACK__55461.1771986127.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,3XL / Army,5001-ARMY-L-3XL,,,6109.10.00.10,,true,false,,,,,,,,Size,3XL,Colour,Army,BD,42,,,8,,
,as-colour-staple-tee-5001,AS Colour Staple Tee 5001,,"<p>The AS Colour Staple Tee. Enduring comfort in a regular fit, crafted from 180 GSM 100% combed cotton. Featuring neck ribbing, side seams, and double needle hems for durability and minimal shrinkage, it's a timeless choice for comfort and style. Available in 70+ colours. Built to last.</p>",published,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/27505/5001_STAPLE_TEE_ARMY__91107.1771986127.386.513.jpg?c=1,,,,,BD,100% Combed Cotton (Marles 15% Viscose),,,true,,,,6109.10.00.10,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/27505/5001_STAPLE_TEE_ARMY__91107.1771986127.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-lqiq2tqil5/products/417/images/27504/5001_STAPLE_TEE_ARMY_BACK__55461.1771986127.386.513.jpg?c=1,false,,sc_01KP7ZJ51Y7PMZ5NA7NA8BAK5C,,,,,4XL / Army,5001-ARMY-M-4XL,,,6109.10.00.10,,true,false,,,,,,,,Size,4XL,Colour,Army,BD,42,,,9,,
